2026-08-06 08:29:16,650 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2V260806_8.htm venue=Vaal date=2026-08-06 race=8 stated=10 parsed=10
2026-08-06 08:29:16,650 | INFO | app.scrapers.winning_form_scraper | horse_names=['Freestyle Dance', 'Wartrax Blaze', 'Elisa Mbali', 'One State', 'Campo Formio', 'Sword Of Light', 'Mega Awesome', 'Truro Legacy', 'Cuzzie', 'Noble Chiefdom']
2026-08-06 08:29:16,811 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2D260807_1.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:16,861 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=14 stated=14
2026-08-06 08:29:16,861 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2D260807_1.htm venue=Hollywoodbets Greyville date=2026-08-07 race=1 stated=14 parsed=14
2026-08-06 08:29:16,862 | INFO | app.scrapers.winning_form_scraper | horse_names=['Owner Of Creation', 'Skipper Zip', 'Yeah Baby', 'Simonis', "Hadrian's Wall", 'Golden Diadem', 'Prince Of Rabada', 'Goldsmith', 'Peace Sign', 'Thurloe Place', 'Cuba Libre', 'Flight Twenty One', 'Catch That Kid', 'Big Dipper']
2026-08-06 08:29:17,088 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2D260807_2.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:17,129 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=8 stated=8
2026-08-06 08:29:17,129 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2D260807_2.htm venue=Hollywoodbets Greyville date=2026-08-07 race=2 stated=8 parsed=8
2026-08-06 08:29:17,129 | INFO | app.scrapers.winning_form_scraper | horse_names=['Hazel Green', 'Tears Of The Sun', 'Queen Of Denmark', 'America First', 'Eastern Glow', "Loreley's Rock", 'Lagertha The Queen', 'Periwinkle']
2026-08-06 08:29:17,324 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2D260807_3.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:17,359 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=7 stated=7
2026-08-06 08:29:17,359 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2D260807_3.htm venue=Hollywoodbets Greyville date=2026-08-07 race=3 stated=7 parsed=7
2026-08-06 08:29:17,359 | INFO | app.scrapers.winning_form_scraper | horse_names=['Crimson Typhoon', 'Fire Force', 'Augrabies', 'Captive Prince', 'Lacryma Christi', 'Noctambulist', 'Chaos Queen']
2026-08-06 08:29:17,521 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2D260807_4.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:17,591 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=13 stated=13
2026-08-06 08:29:17,592 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2D260807_4.htm venue=Hollywoodbets Greyville date=2026-08-07 race=4 stated=13 parsed=13
2026-08-06 08:29:17,592 | INFO | app.scrapers.winning_form_scraper | horse_names=['Tunguska', 'High Queue', 'Zena Rose', 'The Mikado', 'Shiny Bob', 'No Pressure', 'Heavenly Mafia', 'Fast And Free', 'Day Two', 'Christmas Cactus', 'National Dream', 'Status', 'Reign On Impact']
2026-08-06 08:29:17,744 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2D260807_5.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:17,801 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=9 stated=9
2026-08-06 08:29:17,801 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2D260807_5.htm venue=Hollywoodbets Greyville date=2026-08-07 race=5 stated=9 parsed=9
2026-08-06 08:29:17,801 | INFO | app.scrapers.winning_form_scraper | horse_names=['Position Of Power', 'Thisiswhatitmeans', 'Teflon Man', 'Future Variety', 'Soho Star', 'Imposing', 'King Of The Gauls', 'Good Traveller', 'Narina Trogon']
2026-08-06 08:29:17,960 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2D260807_6.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:18,050 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=11 stated=11
2026-08-06 08:29:18,050 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2D260807_6.htm venue=Hollywoodbets Greyville date=2026-08-07 race=6 stated=11 parsed=11
2026-08-06 08:29:18,051 | INFO | app.scrapers.winning_form_scraper | horse_names=['Warrior Royale', 'Swiatek', "That's My Baby", 'Happy Fortune', 'Miss Twinkle', 'Sonic Jet', 'Gorgeous Girl', 'Warning Sound', 'Red Taffety', 'Drumnadrochit', 'Forward Motion']
2026-08-06 08:29:18,218 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2D260807_7.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:18,277 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=10 stated=10
2026-08-06 08:29:18,278 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2D260807_7.htm venue=Hollywoodbets Greyville date=2026-08-07 race=7 stated=10 parsed=10
2026-08-06 08:29:18,278 | INFO | app.scrapers.winning_form_scraper | horse_names=['Maphaka', 'Future Flo', 'Miss World', 'Ubukhwebezana', 'Street Outlaw', 'City Of Love', 'What A Fortune', 'African Skyline', 'Cowdray Park', 'Johnny Appleseed']
2026-08-06 08:29:18,440 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2D260807_8.htm "HTTP/1.1 200 OK"
